account_id,assists,avatar,avatarfull,avatarmedium,cheese,country_code,deaths,denies,fantasy_role,fh_unavailable,full_history_time,gold_per_min,is_locked,is_pro,kda,kills,last_hits,last_login,last_match_time,loccountrycode,locked_until,main_role,name,personaname,profileurl,steamid,team_id,team_name,team_tag,xp_per_min
11562,,,,,,de,,,1,,,,False,True,,,,,,,0,,René,,,,0,,,
88018,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/4e/4e93fd4af7e0261db108e0f7e37593ae2eee0128.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/4e/4e93fd4af7e0261db108e0f7e37593ae2eee0128_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/4e/4e93fd4af7e0261db108e0f7e37593ae2eee0128_medium.jpg,0.0,,,,1,False,2017-06-03T04:59:21.898Z,,False,True,,,,,2017-07-13T19:50:56.000Z,SE,0,,GIFTIG!,zAHARASAURUS,http://steamcommunity.com/profiles/76561197960353746/,76561197960353746,983699,Turtlemasters,turtle,
88470,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/0c/0c05cd9fde20e5d9fd723ec3be154e3aee33948a.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/0c/0c05cd9fde20e5d9fd723ec3be154e3aee33948a_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/0c/0c05cd9fde20e5d9fd723ec3be154e3aee33948a_medium.jpg,0.0,cn,,,1,False,2017-03-29T12:29:31.688Z,,True,True,,,,,2017-07-28T09:09:46.000Z,CN,1502694000,,TZY,Tzy丶,http://steamcommunity.com/id/misterdurst69/,76561197960354198,3258149,CAVALRY,CG,
145875,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c8/c821855eeb3f02078b75108dc448ecf940657a0c.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c8/c821855eeb3f02078b75108dc448ecf940657a0c_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c8/c821855eeb3f02078b75108dc448ecf940657a0c_medium.jpg,0.0,,,,0,,,,False,True,,,,,,,0,,LD,LD,http://steamcommunity.com/id/lddota/,76561197960411603,0,,,
514364,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/38/38320bc2df0a5385f0e41a92cb8789839b42a67f.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/38/38320bc2df0a5385f0e41a92cb8789839b42a67f_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/38/38320bc2df0a5385f0e41a92cb8789839b42a67f_medium.jpg,0.0,us,,,0,,,,False,True,,,,,2017-06-13T13:32:10.000Z,US,0,,Roy,Roy,http://steamcommunity.com/id/dbr386/,76561197960780092,4645595,Hakuna Matata,HM,
690740,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/1e/1ec9fa1959e09d1ae84b2d4f5af0a03b7f2c98be.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/1e/1ec9fa1959e09d1ae84b2d4f5af0a03b7f2c98be_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/1e/1ec9fa1959e09d1ae84b2d4f5af0a03b7f2c98be_medium.jpg,0.0,,,,0,False,2017-04-24T02:17:00.371Z,,False,True,,,,2017-06-24T11:46:41.020Z,2017-07-28T23:12:21.000Z,US,0,,SUNSfan,@SUNSfanTV,http://steamcommunity.com/id/sunsfan/,76561197960956468,2512249,Digital Chaos,DC,
758174,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/61/611eea6dccce6a812bb53c52e52b825ba14665c4.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/61/611eea6dccce6a812bb53c52e52b825ba14665c4_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/61/611eea6dccce6a812bb53c52e52b825ba14665c4_medium.jpg,0.0,us,,,1,,,,False,True,,,,,2017-07-22T04:53:17.000Z,,1481500800,,jeppins,Jeppins,http://steamcommunity.com/profiles/76561197961023902/,76561197961023902,2788413,,,
1185644,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/78/78e3854fc732782c0dfccb847483a5de9dfbc783.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/78/78e3854fc732782c0dfccb847483a5de9dfbc783_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/78/78e3854fc732782c0dfccb847483a5de9dfbc783_medium.jpg,0.0,us,,,1,False,2017-07-21T06:06:15.047Z,,False,True,,,,2015-09-21T20:30:38.990Z,2017-07-27T08:52:59.000Z,,0,,Korok,kaiser,http://steamcommunity.com/id/korokodile/,76561197961451372,1792556,Gerg Squad,Gerg,
1296625,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/95/951e9165740fda890651d8475fc50f5368a847bb.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/95/951e9165740fda890651d8475fc50f5368a847bb_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/95/951e9165740fda890651d8475fc50f5368a847bb_medium.jpg,0.0,us,,,2,False,2015-10-27T05:14:26.768Z,,True,True,,,,2016-06-10T20:24:48.743Z,2017-06-28T03:13:57.000Z,US,1502694000,,Newsham,Newsham,http://steamcommunity.com/id/jnewsham/,76561197961562353,3724222,Team Red,Red,
1522705,,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/fe/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/fe/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_full.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/fe/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_medium.jpg,0.0,fi,,,2,False,2016-09-26T21:10:42.124Z,,False,True,,,,2016-07-30T09:05:06.341Z,2017-07-25T12:26:01.000Z,,0,,nihis,nihis,http://steamcommunity.com/id/nihiss/,76561197961788433,1055544,Hehe United,hehe,
